Country or Area,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Africa +,94254653,94491955,96875347,98441141,101041023,103917248,108262938,111341781,113333980,115410745,116125720,117104124,113876463,115459265,120004058,122842188,127919403,135448239,137641604,141108352,142184796,145242914,148998692,144783869,149193760,155119633,160991640,168458689,174981114,176995394,179406572,182022559,181301667,193090260,200572304,207303107,215892066,221988768,227715733,234130361,243590407,249971524,256297889,266298423,273511413,276701679,284655115
Asia +,198406213,213402786,217722084,215999976,212267645,210663232,209946718,214059984,213220733,212584141,216147868,218056563,220793043,228676475,236126051,244002086,245828537,255042944,268237683,274168197,280462739,284600608,290475054,286616169,282368132,287999788,303580242,318235366,338129705,352131883,354895404,362791810,372006451,388239790,412865404,441832620,424688031,438119926,447335989,456376853,456482015,459947101,468750992,478932734,490411135,490246466,489723912
Australia and New Zealand +,68000,65000,80000,85000,85000,85000,85000,82651,80416,80000,80000,105000,130000,90000,100000,112764,70312,95681,178592,233664,284177,336358,382470,515365,882515,1231917,1602229,1980683,1906790,1623271,1241694,880665,594191,515567,486000,458000,445000,448000,406390,442840,458400,553000,574500,747668,616491,672649,630005
Europe +,22473699,21438777,20282161,18748321,18517561,18252234,18582012,18113063,17883720,17069877,17223199,17037653,17096809,17202215,17295338,17121832,16899260,16983447,16790666,17294460,18628585,18416003,19159469,19305349,19202136,19956099,19958877,20651233,22117514,22157130,22203391,19178855,19238694,19899310,19989543,19413389,19365475,19196866,19040038,18954596,18737547,18213862,19148333,18635327,18392284,17978069,17926684
Northern America +,3485300,3659800,3696300,3918300,4073270,4236250,3983260,3587230,3230180,2588167,2151020,1668188,1793269,1579300,1368320,1290450,1420570,1376600,1380470,1422530,1403050,1433570,1444580,1445580,1575590,1796300,1806600,1826800,1877100,1927945,1858160,2028120,1988200,1988300,1878500,1928800,1678800,1429300,2280300,2330300,2430300,2560766,2560300,2555300,2745300,2867300,2964300
South America +,18692321,18957900,19571450,19544746,19707201,19861765,17828982,17988485,18217140,18395242,18619493,19178354,19687317,19680269,19050751,19312065,18733650,18667757,18939982,18075876,18598751,18802263,18371923,19096342,19420000,20234463,20687598,21357918,21733332,22126967,22677681,22848245,21702325,22269886,21615699,17635899,18351928,18543694,19089965,20094203,20185774,20644049,21051154,21640873,21998373,21983885,21191834
